"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"16","3 new #KILLAWATTS are joining the @fentybeauty family!!! #KILLAWATTFOILS drop on May 21 !! https://t.co/mM1RNIjMZe",FALSE,29957,NA,2018-05-17 17:09:27,FALSE,NA,"997162192691544065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2942,FALSE,FALSE,NA,NA
"17","5 dayz. #KILLAWATTFOILS. Lip Luminizers. #FENTYBEAUTY all summer! @fentybeauty May 21 https://t.co/NQnhNwCNVn",FALSE,29383,NA,2018-05-16 16:47:20,FALSE,NA,"996794236723912704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2781,FALSE,FALSE,NA,NA
"18","Got 3 new shades of #KILLAWATTFOILS droppin in 6 days! May 21st <U+2728> @fentybeauty https://t.co/aJqCzkLdnM",FALSE,41962,NA,2018-05-15 17:03:31,FALSE,NA,"996435921909121024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4051,FALSE,FALSE,NA,NA
"19","More heat for the summer! Must have lip luminizers in 2 sets #SUMMERDAZE and #SUMMERNIGHTS .....full #BeachPlease c… https://t.co/yjO3jsE2Fq",FALSE,22311,NA,2018-05-14 16:52:25,TRUE,NA,"996070741584982018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2637,FALSE,FALSE,NA,NA
"20","Full #BEACHPLEASE summer collection coming on MAY 21st!!! #KILLAWATTFOILS and limited edition Lip Luminizers and Ey… https://t.co/MPcW8Yr1kv",FALSE,18647,NA,2018-05-14 16:16:47,TRUE,NA,"996061774142095361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3904,FALSE,FALSE,NA,NA
"21","isn’t she gorgeous? 
new #KILLAWATTFOIL in shade:

Mimosa Sunrise/Sangria Sunset
@fentybeauty https://t.co/YfSLhYMsfa",FALSE,26651,NA,2018-05-14 16:15:42,FALSE,NA,"996061503072583680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3419,FALSE,FALSE,NA,NA
"22","If you’ve never seen “The Trials of Darryl Hunt” please do yourself that favor! <f0><U+009F><U+0092><U+0094><f0><U+009F><U+0099><U+008F><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BF><U+270A><f0><U+009F><U+008F><U+00BF><U+2764><U+FE0F>",FALSE,33459,NA,2018-05-14 11:23:55,FALSE,NA,"995988071077302273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3455,FALSE,FALSE,NA,NA
"23","I know y’all been ready for more of the #BEACHPLEASE collection !! New drip on May 21st !! @fentybeauty https://t.co/MBgbtwzbIW",FALSE,68943,NA,2018-05-13 17:13:42,FALSE,NA,"995713708616663040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",8353,FALSE,FALSE,NA,NA
"24",".@SAVAGEXFENTY LINGERIE IS NOW AVAILABLE WORLDWIDE !! Treat yourself or a special someone to a little something, so… https://t.co/uD94FzWM2z",FALSE,36189,NA,2018-05-11 04:19:43,TRUE,NA,"994794153476321281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7636,FALSE,FALSE,NA,NA
"25",".@savagexfenty drops worldwide at MIDNIGHT 12:01 am EST TONIGHT at https://t.co/h2tZQkqJdh !!! https://t.co/Xjy3ZvSCqv",FALSE,46159,NA,2018-05-10 17:53:52,FALSE,NA,"994636654559285248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7342,FALSE,FALSE,NA,NA
"26","2 dayz til @savagexfenty . https://t.co/skxwwas06d",FALSE,25897,NA,2018-05-09 17:10:04,FALSE,NA,"994263244507435010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4014,FALSE,FALSE,NA,NA
"27","2 dayz til @savagexfenty launches worldwide !! Head over to https://t.co/h2tZQkqJdh to countdown with me. <f0><U+009F><U+0098><U+009C><f0><U+009F><U+0092><U+0093><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE> https://t.co/d207Ng1WLm",FALSE,13363,NA,2018-05-09 17:06:35,FALSE,NA,"994262369298780162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2243,FALSE,FALSE,NA,NA
"28","4 dayz, sis! #DAMN @savagexfenty https://t.co/xpoT0MqhbT",FALSE,163552,NA,2018-05-07 17:19:43,FALSE,NA,"993540896435060736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",25550,FALSE,FALSE,NA,NA
"29","#DAMN. @savagexfenty drops in FIVE DAYZ !! MAY.11.2018 https://t.co/lUPqs0crxT",FALSE,160161,NA,2018-05-06 17:06:42,FALSE,NA,"993175234579582977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",29435,FALSE,FALSE,NA,NA
"30","Sup, bra? 6 more days til @savagexfenty ...... category: #DAMN https://t.co/OPW0KlAQra",FALSE,164093,NA,2018-05-05 17:17:28,FALSE,NA,"992815555273895936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",29656,FALSE,FALSE,NA,NA
"31","ONE WEEK TIL WE'RE ALL IN #SAVAGEX !! Keepin it cozy in my #OnTheReg T-shirt bra @savagexfenty MAY.11.2018 https://t.co/B6Odl9GIA8",FALSE,75929,NA,2018-05-04 17:49:13,FALSE,NA,"992461155049193472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",12228,FALSE,FALSE,NA,NA
"32","CIA ain’t got nun on y’all tbh https://t.co/qp840wan5k",FALSE,99674,NA,2018-05-03 12:37:09,FALSE,NA,"992020235216654336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",16037,FALSE,FALSE,NA,NA
"33","READ my cover story at https://t.co/qNBfqf9Wkl @voguemagazine https://t.co/XWOoEAa0VX",FALSE,68630,NA,2018-05-03 11:37:47,FALSE,NA,"992005296322101248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",12575,FALSE,FALSE,NA,NA
"34","so honored to cover @voguemagazine’s June issue! https://t.co/qNBfqf9Wkl https://t.co/v9SQRKtpyH",FALSE,70335,NA,2018-05-03 11:34:00,FALSE,NA,"992004342847696896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",13632,FALSE,FALSE,NA,NA
"35","9 dayz left !! shout out to my girl jazzelle for keepin it raw n’ real always.............. category: #DAMN… https://t.co/9WRhvj1Ixy",FALSE,18753,NA,2018-05-02 17:16:28,TRUE,NA,"991728139595268101",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2684,FALSE,FALSE,NA,NA
"36","10 days til @savagexfenty drops on https://t.co/h2tZQk97OH !!! Say hello to sweet Stella killin it in the category:… https://t.co/q4JvYoeNrb",FALSE,15595,NA,2018-05-01 17:25:04,TRUE,NA,"991367914514141189",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2512,FALSE,FALSE,NA,NA
"37","Leomie killin it in category: #DAMN ... @savagexfenty <f0><U+009F><U+0098><U+008D> 10 days. https://t.co/71X6kgguAH",FALSE,38083,NA,2018-05-01 17:13:42,FALSE,NA,"991365056901267459",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4736,FALSE,FALSE,NA,NA
"38","my girl lulu rocking her @savagexfenty in category: #OnTheReg 
11 dayz left til #SAVAGEX drops https://t.co/MUqjOIVrZX",FALSE,41095,NA,2018-04-30 17:06:10,FALSE,NA,"991000771838672896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rihanna",4620,FALSE,FALSE,NA,NA
"39","savages come in all shapes and sizes!! ya ready? @savagexfenty MAY.11.2018 https://t.co/WsomcmEMzm",FALSE,145395,NA,2018-04-29 17:28:52,FALSE,NA,"990644095709151232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",37885,FALSE,FALSE,NA,NA
"40","get ready. MAY.11.2018. @savagexfenty <f0><U+009F><U+0092><U+0093> https://t.co/6d3ZBKwXag",FALSE,61311,NA,2018-04-28 17:10:09,FALSE,NA,"990276998932062209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",13989,FALSE,FALSE,NA,NA
"41","can’t wait for you to see what’s coming!! MAY 11 at 12:01 am EST  Keep up at https://t.co/fXNZ4q2a1R @SAVAGEXFENTY https://t.co/ccsLBgjLNu",FALSE,15865,NA,2018-04-27 23:50:19,FALSE,NA,"990015315345006592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2122,FALSE,FALSE,NA,NA
"42","Loading... MAY.11.2018 @SAVAGEXFENTY https://t.co/Vj3XbC1ecF",FALSE,44634,NA,2018-04-26 17:02:20,FALSE,NA,"989550255908708353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",8530,FALSE,FALSE,NA,NA
"43","U better lace up! @SAVAGEXFENTY drops worldwide on MAY.11.2018 https://t.co/CoebQysJXK",FALSE,22136,NA,2018-04-25 18:24:51,FALSE,NA,"989208633295585280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4163,FALSE,FALSE,NA,NA
"44","bet ya didn’t know it’s #nationallingerieday <f0><U+009F><U+0098><U+008D> got a lil treat for my ladies.... #SAVAGEXFENTY is coming to you wor… https://t.co/9oHYemyY97",FALSE,88814,NA,2018-04-24 16:37:35,TRUE,NA,"988819252013486080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",21340,FALSE,FALSE,NA,NA
"45","#SAVAGEX is coming. @savagexfenty https://t.co/EnH031WXLt",FALSE,20727,NA,2018-04-23 17:08:37,FALSE,NA,"988464672847228928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3414,FALSE,FALSE,NA,NA
"46","we bout to light this up sis!!<f0><U+009F><U+0094><U+00A5> ... introducing @SAVAGEXFENTY lingerie coming soon. sign up now at… https://t.co/zLPCXdoB8a",FALSE,36740,NA,2018-04-20 17:30:36,TRUE,NA,"987383043462578176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",9132,FALSE,FALSE,NA,NA
"47","X. https://t.co/0XOKQLQnQx",FALSE,100975,NA,2018-04-19 17:01:05,FALSE,NA,"987013224703737856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",22930,FALSE,FALSE,NA,NA
"48","didn’t they tell u? https://t.co/0RgBy1I2AB",FALSE,161459,NA,2018-04-17 17:02:58,FALSE,NA,"986288926028480512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",29990,FALSE,FALSE,NA,NA
"49","I’m so happy to announce that @FentyBeauty is coming to Saudi Arabia on April 19th!! #SephoraMiddleEast <f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00A6> https://t.co/Poq2z5WO3O",FALSE,56819,NA,2018-04-07 11:40:58,FALSE,NA,"982584011980603394",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7542,FALSE,FALSE,NA,NA
"50","#BEACHPLEASE collection is OUT NOW!!!! @FentyBeauty #BodyLava custom #KabukiBrush &amp; #FairyBomb .... get #BrownSugar… https://t.co/VnxWsmJxhE",FALSE,23417,NA,2018-04-06 15:47:18,TRUE,NA,"982283614602739713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rihanna",4171,FALSE,FALSE,NA,NA
"51","#BEACHPLEASE 

we only 2 days away from #bodylava domination!!! Wait until you smell how delicious this is!!… https://t.co/9m8xDDUgd2",FALSE,23282,NA,2018-04-04 17:11:06,TRUE,NA,"981579930235387904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3726,FALSE,FALSE,NA,NA
"52","Ladiesss......I can’t believe it’s only 3 days away #fairybomb and #bodylava... @fentybeauty April 6th https://t.co/GG0RQ7zijc",FALSE,37590,NA,2018-04-03 21:19:43,FALSE,NA,"981280107141644288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3475,FALSE,FALSE,NA,NA
"53","This FRIDAY !!! Ya ready for #bodylava and #fairybomb ??? Cause they’re almost heeeere <U+2728> @fentybeauty https://t.co/MXH7XXvBfE",FALSE,30662,NA,2018-04-02 17:07:11,FALSE,NA,"980854168666558465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2932,FALSE,FALSE,NA,NA
"54","I’m grateful for this honor! Thank you God, and thank you to my fans and supporters for holding me down and propell… https://t.co/8yk48NwV0c",FALSE,54431,NA,2018-03-31 18:08:19,TRUE,NA,"980144774865825793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",11089,FALSE,FALSE,NA,NA
"55","My sis @duckie_thot showing ‘em how it’s done!!! we drop the #bodylava and #fairybomb on April 6 <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF> <f0><U+009F><U+0092><U+00A5> @fentybeauty https://t.co/pM6ncEpHGG",FALSE,49399,NA,2018-03-31 17:15:18,FALSE,NA,"980131433598500866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",6457,FALSE,FALSE,NA,NA
"56","<f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF> https://t.co/x8EPEgjtgS",FALSE,397156,NA,2018-03-30 00:36:41,FALSE,NA,"979517736752525312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",101706,FALSE,FALSE,NA,NA
"57","8 days til my #BodyLava &amp; #FairyBomb are yours!!! Drops April 6th at @fentybeauty @sephora @harveynichols and… https://t.co/0kpXUeFTRb",FALSE,38137,NA,2018-03-29 17:23:33,TRUE,NA,"979408733494173696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4919,FALSE,FALSE,NA,NA
"58","who ready for dat 2018 glow up? 
#FairyBomb Glittering Pom Pom and #BodyLava luminizer is out next Friday! April 6t… https://t.co/XiPnyX9cdY",FALSE,49441,NA,2018-03-28 17:13:39,TRUE,NA,"979043856359481345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",6663,FALSE,FALSE,NA,NA
"59","summer came early with my #BEACHPLEASE collection @fentybeauty #bodylava luminizer &amp; #fairybomb glittering pom pom… https://t.co/eVA5INCALv",FALSE,42577,NA,2018-03-27 17:13:24,TRUE,NA,"978681402727186432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rihanna",7539,FALSE,FALSE,NA,NA
"60","SS18 @FENTYXPUMA is out NOW! <U+2600><U+FE0F> So excited for y'all to finally have this collection man 
https://t.co/iecNxeDMPP… https://t.co/ONV6Tlk46B",FALSE,34072,NA,2018-03-15 15:39:18,TRUE,NA,"974309068134268929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rihanna",6951,FALSE,FALSE,NA,NA
"61","Glory to God <f0><U+009F><U+0099><U+008F><f0><U+009F><U+008F><U+00BF><U+270A><f0><U+009F><U+008F><U+00BF> https://t.co/Msvq24pqTe",FALSE,86582,NA,2018-03-10 20:19:12,FALSE,NA,"972567570594258944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",13829,FALSE,FALSE,NA,NA
"62","Ciao! That’s right!! @fentybeauty is finally coming to @sephoraitalia on April 6th! <f0><U+009F><U+0087><U+00AE><f0><U+009F><U+0087><U+00B9> https://t.co/qh7OpFAjzl",FALSE,38271,NA,2018-03-05 18:00:18,FALSE,NA,"970720673747255297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3938,FALSE,FALSE,NA,NA
"63","#FENTYxPUMA gang. 
@fentyxpuma SS18 #March15th https://t.co/dCGyZiNTGj",FALSE,61145,NA,2018-02-28 20:39:24,FALSE,NA,"968948771659825152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",10266,FALSE,FALSE,NA,NA
"64","the new SS18 #FENTYxPUMA collection is about to be here! I know you guys are excited to finally have it and the cou… https://t.co/6JJBhCFdsu",FALSE,54201,NA,2018-02-28 20:38:37,TRUE,NA,"968948578155610112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",8626,FALSE,FALSE,NA,NA
"65","Happy Valentine’s ladies. My newest collab with @stance drops tonight! Get the #ColdHearted collection at Midnight… https://t.co/7lgxBDEtsp",FALSE,24138,NA,2018-02-07 04:01:45,TRUE,NA,"961087563363594240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3221,FALSE,FALSE,NA,NA
"66","<f0><U+009F><U+0087><U+00AC><f0><U+009F><U+0087><U+00A7> Hello @theresa_may and @PennyMordaunt, please continue to prioritize girls’ education and be a top funder of… https://t.co/kiVQFpkj1B",FALSE,20720,NA,2018-02-01 18:22:07,TRUE,NA,"959129751616016384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4307,FALSE,FALSE,NA,NA
"67","hi @JulieBishopMP &amp; @TurnbullMalcolm will you step up w/ a <f0><U+009F><U+0087><U+00A6><f0><U+009F><U+0087><U+00BA> $200M pledge to #FundEducation at the @GPforEducation… https://t.co/DjMqpl0FUO",FALSE,12745,NA,2018-02-01 18:21:43,TRUE,NA,"959129653163081728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2816,FALSE,FALSE,NA,NA
"68","Merci @emmanuelmacron for stepping up to co-host @GPforEducation’s Financing Conference in Dakar! Will France <f0><U+009F><U+0087><U+00AB><f0><U+009F><U+0087><U+00B7> pl… https://t.co/rtsC1oqmBe",FALSE,32231,NA,2018-02-01 18:20:26,TRUE,NA,"959129328960258048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",5257,FALSE,FALSE,NA,NA
"69",".@erna_solberg #throwback to 1 year ago when we talked about how important it is to #FundEducation. Now it’s time…… https://t.co/DRCCZ9xojS",FALSE,55795,NA,2018-01-17 15:11:50,TRUE,NA,"953646050333437953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7015,FALSE,FALSE,NA,NA
"70","shade: Griselda. 
How y'all liking the shades of #MATTEMOISELLE? ...all 14 available now @fentybeauty @sephora… https://t.co/gT7Z6CfnUX",FALSE,43329,NA,2017-12-29 20:13:06,TRUE,NA,"946836493405786112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4978,FALSE,FALSE,NA,NA
"71","#MATTEMOISELLE is HERE <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF> We got a color for every mood.... get all 14 lip shades now at @fentybeauty… https://t.co/uoxy2R5POQ",FALSE,34991,NA,2017-12-26 14:11:47,TRUE,NA,"945658402205720576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",5703,FALSE,FALSE,NA,NA
"72","shade: MADAMN .... only 2 days until #MATTEMOISELLE drops in 14 shades at 9AM EST Dec. 26 @fentybeauty https://t.co/3dPqCxFQ9A",FALSE,56402,NA,2017-12-24 20:08:22,FALSE,NA,"945023363117748224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",6795,FALSE,FALSE,NA,NA
"73",".@duckie_thot. gettin it in with #MATTEMOISELLE ..... all 14 shades can be yours in 4 days (Dec 26).
@fentybeauty… https://t.co/rCUNgDQZHB",FALSE,22516,NA,2017-12-22 18:24:06,TRUE,NA,"944272350253420544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",3254,FALSE,FALSE,NA,NA
